Package Name,Package Path,Package Version,CHANGELOG Path,Latest NPM Stable,Latest NPM Beta,Match Type
@azure/arm-visualstudio,sdk/visualstudio/arm-visualstudio,4.0.0-beta.3,sdk/visualstudio/arm-visualstudio/CHANGELOG.md,3.0.0,4.0.0-beta.3,LATEST_BETA
@azure/arm-paloaltonetworksngfw,sdk/paloaltonetworksngfw/arm-paloaltonetworksngfw,1.1.1,sdk/paloaltonetworksngfw/arm-paloaltonetworksngfw/CHANGELOG.md,1.1.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-deviceprovisioningservices,sdk/deviceprovisioningservices/arm-deviceprovisioningservices,6.0.0-beta.2,sdk/deviceprovisioningservices/arm-deviceprovisioningservices/CHANGELOG.md,5.1.0,6.0.0-beta.2,LATEST_BETA
@azure/arm-serialconsole,sdk/serialconsole/arm-serialconsole,2.1.1,sdk/serialconsole/arm-serialconsole/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-resources-profile-2020-09-01-hybrid,sdk/resources/arm-resources-profile-2020-09-01-hybrid,2.1.1,sdk/resources/arm-resources-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure-rest/defender-easm,sdk/easm/defender-easm-rest,1.0.0-beta.3,sdk/easm/defender-easm-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-networkfunction,sdk/networkfunction/arm-networkfunction,2.0.1,sdk/networkfunction/arm-networkfunction/CHANGELOG.md,2.0.1,,LATEST_STABLE
@azure/arm-monitor,sdk/monitor/arm-monitor,8.0.0-beta.6,sdk/monitor/arm-monitor/CHANGELOG.md,7.0.0,8.0.0-beta.6,LATEST_BETA
@azure/arm-monitor-profile-2020-09-01-hybrid,sdk/monitor/arm-monitor-profile-2020-09-01-hybrid,2.1.1,sdk/monitor/arm-monitor-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-features,sdk/features/arm-features,3.1.1,sdk/features/arm-features/CHANGELOG.md,3.1.1,3.0.0-beta.1,LATEST_STABLE
@azure/arm-astro,sdk/astro/arm-astro,1.0.0-beta.2,sdk/astro/arm-astro/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/arm-privatedns,sdk/privatedns/arm-privatedns,3.3.1,sdk/privatedns/arm-privatedns/CHANGELOG.md,3.3.1,,LATEST_STABLE
@azure/arm-healthbot,sdk/healthbot/arm-healthbot,2.1.1,sdk/healthbot/arm-healthbot/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-azurestackhci,sdk/azurestackhci/arm-azurestackhci,4.0.0-beta.3,sdk/azurestackhci/arm-azurestackhci/CHANGELOG.md,3.1.0,4.0.0-beta.3,LATEST_BETA
@azure/arm-cosmosdbforpostgresql,sdk/cosmosforpostgresql/arm-cosmosdbforpostgresql,1.1.0-beta.2,sdk/cosmosforpostgresql/arm-cosmosdbforpostgresql/CHANGELOG.md,1.0.0,1.1.0-beta.2,LATEST_BETA
@azure/arm-templatespecs,sdk/templatespecs/arm-templatespecs,2.1.1,sdk/templatespecs/arm-templatespecs/CHANGELOG.md,2.1.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-webservices,sdk/machinelearning/arm-webservices,1.1.1,sdk/machinelearning/arm-webservices/CHANGELOG.md,1.1.1,,LATEST_STABLE
@azure/arm-workspaces,sdk/machinelearning/arm-workspaces,1.1.1,sdk/machinelearning/arm-workspaces/CHANGELOG.md,1.1.1,,LATEST_STABLE
@azure/arm-subscriptions,sdk/subscription/arm-subscriptions,5.1.1,sdk/subscription/arm-subscriptions/CHANGELOG.md,5.1.1,,LATEST_STABLE
@azure/arm-subscriptions-profile-2020-09-01-hybrid,sdk/subscription/arm-subscriptions-profile-2020-09-01-hybrid,2.1.1,sdk/subscription/arm-subscriptions-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-storagesync,sdk/storagesync/arm-storagesync,9.1.1,sdk/storagesync/arm-storagesync/CHANGELOG.md,9.1.1,,LATEST_STABLE
@azure/arm-loadtesting,sdk/loadtesting/arm-loadtesting,1.0.1,sdk/loadtesting/arm-loadtesting/CHANGELOG.md,1.0.1,1.0.0-beta.2,LATEST_STABLE
@azure/arm-storagecache,sdk/storagecache/arm-storagecache,8.0.1,sdk/storagecache/arm-storagecache/CHANGELOG.md,8.0.1,7.1.0-beta.1,LATEST_STABLE
@azure/arm-powerbidedicated,sdk/powerbidedicated/arm-powerbidedicated,4.0.2,sdk/powerbidedicated/arm-powerbidedicated/CHANGELOG.md,4.0.2,,LATEST_STABLE
@azure/arm-sphere,sdk/sphere/arm-sphere,1.0.1,sdk/sphere/arm-sphere/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-qumulo,sdk/liftrqumulo/arm-qumulo,2.0.1,sdk/liftrqumulo/arm-qumulo/CHANGELOG.md,2.0.1,,LATEST_STABLE
@azure/arm-eventhub-profile-2020-09-01-hybrid,sdk/eventhub/arm-eventhub-profile-2020-09-01-hybrid,2.1.1,sdk/eventhub/arm-eventhub-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/eventhubs-checkpointstore-table,sdk/eventhub/eventhubs-checkpointstore-table,1.0.0-beta.1,sdk/eventhub/eventhubs-checkpointstore-table/CHANGELOG.md,,1.0.0-beta.1,LATEST_BETA
@azure/eventhubs-checkpointstore-blob,sdk/eventhub/eventhubs-checkpointstore-blob,2.0.1,sdk/eventhub/eventhubs-checkpointstore-blob/CHANGELOG.md,2.0.1,2.0.0-beta.1,LATEST_STABLE
@azure/event-hubs,sdk/eventhub/event-hubs,6.0.1,sdk/eventhub/event-hubs/CHANGELOG.md,6.0.1,6.0.0-beta.1,LATEST_STABLE
@azure-rest/purview-administration,sdk/purview/purview-administration-rest,1.0.0-beta.3,sdk/purview/purview-administration-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure-rest/purview-sharing,sdk/purview/purview-sharing-rest,1.0.0-beta.4,sdk/purview/purview-sharing-rest/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure-rest/purview-workflow,sdk/purview/purview-workflow-rest,1.0.0-beta.3,sdk/purview/purview-workflow-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure-rest/purview-scanning,sdk/purview/purview-scanning-rest,1.0.0-beta.4,sdk/purview/purview-scanning-rest/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/arm-purview,sdk/purview/arm-purview,1.1.1,sdk/purview/arm-purview/CHANGELOG.md,1.1.1,1.0.0-beta.1,LATEST_STABLE
@azure-rest/maps-search,sdk/maps/maps-search-rest,2.0.0-beta.4,sdk/maps/maps-search-rest/CHANGELOG.md,,2.0.0-beta.4,LATEST_BETA
@azure-rest/maps-render,sdk/maps/maps-render-rest,2.0.0-beta.3,sdk/maps/maps-render-rest/CHANGELOG.md,,2.0.0-beta.3,LATEST_BETA
@azure-rest/maps-route,sdk/maps/maps-route-rest,1.0.0-beta.6,sdk/maps/maps-route-rest/CHANGELOG.md,,1.0.0-beta.6,LATEST_BETA
@azure/arm-maps,sdk/maps/arm-maps,3.1.1,sdk/maps/arm-maps/CHANGELOG.md,3.1.1,3.1.0-beta.2,LATEST_STABLE
@azure-rest/maps-geolocation,sdk/maps/maps-geolocation-rest,1.0.0-beta.6,sdk/maps/maps-geolocation-rest/CHANGELOG.md,,1.0.0-beta.6,LATEST_BETA
@azure-rest/maps-timezone,sdk/maps/maps-timezone-rest,1.0.0-beta.2,sdk/maps/maps-timezone-rest/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/maps-common,sdk/maps/maps-common,1.0.0-beta.3,sdk/maps/maps-common/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-locks-profile-2020-09-01-hybrid,sdk/locks/arm-locks-profile-2020-09-01-hybrid,2.1.1,sdk/locks/arm-locks-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-locks,sdk/locks/arm-locks,2.1.1,sdk/locks/arm-locks/CHANGELOG.md,2.1.1,2.0.0-beta.1,LATEST_STABLE
@azure/arm-trustedsigning,sdk/trustedsigning/arm-trustedsigning,1.0.0-beta.3,sdk/trustedsigning/arm-trustedsigning/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-servicebus,sdk/servicebus/arm-servicebus,6.2.0-beta.2,sdk/servicebus/arm-servicebus/CHANGELOG.md,6.1.0,6.2.0-beta.2,LATEST_BETA
@azure/service-bus,sdk/servicebus/service-bus,7.10.0-beta.3,sdk/servicebus/service-bus/CHANGELOG.md,7.9.5,7.10.0-beta.3,LATEST_BETA
@azure/container-registry,sdk/containerregistry/container-registry,1.1.1,sdk/containerregistry/container-registry/CHANGELOG.md,1.1.1,1.1.0-beta.3,LATEST_STABLE
@azure/arm-analysisservices,sdk/analysisservices/arm-analysisservices,4.1.4,sdk/analysisservices/arm-analysisservices/CHANGELOG.md,4.1.4,4.0.0-beta.1,LATEST_STABLE
@azure/arm-edgezones,sdk/edgezones/arm-edgezones,1.0.0-beta.4,sdk/edgezones/arm-edgezones/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure-rest/arm-containerservice,sdk/containerservice/arm-containerservice-rest,1.0.0-beta.3,sdk/containerservice/arm-containerservice-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-confluent,sdk/confluent/arm-confluent,3.1.1,sdk/confluent/arm-confluent/CHANGELOG.md,3.1.1,3.0.0-beta.3,LATEST_STABLE
@azure/arm-mysql-flexible,sdk/mysql/arm-mysql-flexible,4.0.0-beta.3,sdk/mysql/arm-mysql-flexible/CHANGELOG.md,3.1.0,4.0.0-beta.3,LATEST_BETA
@azure/arm-mysql,sdk/mysql/arm-mysql,5.1.1,sdk/mysql/arm-mysql/CHANGELOG.md,5.1.1,5.0.0-beta.1,LATEST_STABLE
@azure/arm-automation,sdk/automation/arm-automation,11.0.0-beta.5,sdk/automation/arm-automation/CHANGELOG.md,10.1.1,11.0.0-beta.5,LATEST_BETA
@azure/arm-informaticadatamanagement,sdk/informatica/arm-informaticadatamanagement,1.0.1,sdk/informatica/arm-informaticadatamanagement/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-costmanagement,sdk/cost-management/arm-costmanagement,1.0.0-beta.2,sdk/cost-management/arm-costmanagement/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/arm-powerbiembedded,sdk/powerbiembedded/arm-powerbiembedded,2.0.3,sdk/powerbiembedded/arm-powerbiembedded/CHANGELOG.md,2.0.3,,LATEST_STABLE
@azure/arm-cdn,sdk/cdn/arm-cdn,9.1.1,sdk/cdn/arm-cdn/CHANGELOG.md,9.1.1,6.0.0-beta.1,LATEST_STABLE
@azure/arm-batch,sdk/batch/arm-batch,10.0.1,sdk/batch/arm-batch/CHANGELOG.md,10.0.1,7.0.0-beta.1,LATEST_STABLE
@azure/arm-migrationdiscoverysap,sdk/migrationdiscovery/arm-migrationdiscoverysap,1.0.0-beta.2,sdk/migrationdiscovery/arm-migrationdiscoverysap/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/web-pubsub-client-protobuf,sdk/web-pubsub/web-pubsub-client-protobuf,1.0.0-beta.3,sdk/web-pubsub/web-pubsub-client-protobuf/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-webpubsub,sdk/web-pubsub/arm-webpubsub,1.2.1,sdk/web-pubsub/arm-webpubsub/CHANGELOG.md,1.2.1,2.0.0-beta.2,LATEST_STABLE
@azure/web-pubsub-client,sdk/web-pubsub/web-pubsub-client,1.0.3,sdk/web-pubsub/web-pubsub-client/CHANGELOG.md,1.0.3,1.0.0-beta.3,LATEST_STABLE
