Package Name,Package Path,Package Version,CHANGELOG Path,Latest NPM Stable,Latest NPM Beta,Match Type
@azure/arm-azureadexternalidentities,sdk/azureadexternalidentities/arm-azureadexternalidentities,1.0.4,sdk/azureadexternalidentities/arm-azureadexternalidentities/CHANGELOG.md,1.0.4,,LATEST_STABLE
@azure/arm-education,sdk/education/arm-education,1.0.0-beta.4,sdk/education/arm-education/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/arm-apicenter,sdk/apicenter/arm-apicenter,1.0.1,sdk/apicenter/arm-apicenter/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-managementpartner,sdk/managementpartner/arm-managementpartner,3.0.2,sdk/managementpartner/arm-managementpartner/CHANGELOG.md,3.0.2,,LATEST_STABLE
@azure/arm-appcomplianceautomation,sdk/appcomplianceautomation/arm-appcomplianceautomation,1.0.1,sdk/appcomplianceautomation/arm-appcomplianceautomation/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-containerinstance,sdk/containerinstance/arm-containerinstance,9.2.0-beta.2,sdk/containerinstance/arm-containerinstance/CHANGELOG.md,9.1.0,9.2.0-beta.2,LATEST_BETA
@azure/keyvault-secrets,sdk/keyvault/keyvault-secrets,4.10.1,sdk/keyvault/keyvault-secrets/CHANGELOG.md,4.10.1,4.10.0-beta.1,LATEST_STABLE
@azure/keyvault-certificates,sdk/keyvault/keyvault-certificates,4.10.1,sdk/keyvault/keyvault-certificates/CHANGELOG.md,4.10.1,4.10.0-beta.1,LATEST_STABLE
@azure/arm-keyvault-profile-2020-09-01-hybrid,sdk/keyvault/arm-keyvault-profile-2020-09-01-hybrid,2.1.1,sdk/keyvault/arm-keyvault-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/keyvault-common,sdk/keyvault/keyvault-common,2.0.1,sdk/keyvault/keyvault-common/CHANGELOG.md,2.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/keyvault-keys,sdk/keyvault/keyvault-keys,4.10.1,sdk/keyvault/keyvault-keys/CHANGELOG.md,4.10.1,4.10.0-beta.1,LATEST_STABLE
@azure/keyvault-admin,sdk/keyvault/keyvault-admin,4.7.1,sdk/keyvault/keyvault-admin/CHANGELOG.md,4.7.1,4.7.0-beta.1,LATEST_STABLE
@azure/arm-logic,sdk/logic/arm-logic,8.2.1,sdk/logic/arm-logic/CHANGELOG.md,8.2.1,8.0.0-beta.1,LATEST_STABLE
@azure/arm-relay,sdk/relay/arm-relay,3.1.2,sdk/relay/arm-relay/CHANGELOG.md,3.1.2,,LATEST_STABLE
@azure/arm-hanaonazure,sdk/hanaonazure/arm-hanaonazure,4.0.0-beta.4,sdk/hanaonazure/arm-hanaonazure/CHANGELOG.md,3.1.1,4.0.0-beta.4,LATEST_BETA
@azure/arm-customerinsights,sdk/customer-insights/arm-customerinsights,4.1.1,sdk/customer-insights/arm-customerinsights/CHANGELOG.md,4.1.1,,LATEST_STABLE
@azure/arm-workloads,sdk/workloads/arm-workloads,1.0.1,sdk/workloads/arm-workloads/CHANGELOG.md,1.0.1,1.0.0-beta.3,LATEST_STABLE
@azure/arm-devhub,sdk/devhub/arm-devhub,1.0.0-beta.4,sdk/devhub/arm-devhub/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/arm-quantum,sdk/quantum/arm-quantum,1.0.0-beta.3,sdk/quantum/arm-quantum/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/quantum-jobs,sdk/quantum/quantum-jobs,1.0.0-beta.2,sdk/quantum/quantum-jobs/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure-rest/ai-anomaly-detector,sdk/anomalydetector/ai-anomaly-detector-rest,1.0.0-beta.2,sdk/anomalydetector/ai-anomaly-detector-rest/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/ai-language-conversations,sdk/cognitivelanguage/ai-language-conversations,1.0.0-beta.2,sdk/cognitivelanguage/ai-language-conversations/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/arm-rediscache,sdk/redis/arm-rediscache,8.2.1,sdk/redis/arm-rediscache/CHANGELOG.md,8.2.1,6.0.0-beta.1,LATEST_STABLE
@azure/ai-text-analytics,sdk/textanalytics/ai-text-analytics,5.1.1,sdk/textanalytics/ai-text-analytics/CHANGELOG.md,5.1.1,6.0.0-beta.1,LATEST_STABLE
